GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	P36006	MYO3	GO:0006897		559292	MYO3,YKL129C	P
UniProtKB	P36006	MYO3	GO:0006897		559292	MYO3,YKL129C	P
UniProtKB	P36006	MYO3	GO:0006887		559292	MYO3,YKL129C	P
UniProtKB	P36015	YKT6	GO:0016192		559292	YKT6,YKL196C	P
UniProtKB	P36015	YKT6	GO:0006906		559292	YKT6,YKL196C	P
UniProtKB	P36015	YKT6	GO:0006891		559292	YKT6,YKL196C	P
UniProtKB	P36015	YKT6	GO:0006888		559292	YKT6,YKL196C	P
UniProtKB	P36017	VPS21	GO:0032511		559292	VPS21,VPS12,VPT12,YPT21,YPT51,YOR089C,YOR3154C	P
UniProtKB	P36017	VPS21	GO:0006897		559292	VPS21,VPS12,VPT12,YPT21,YPT51,YOR089C,YOR3154C	P
UniProtKB	P36017	VPS21	GO:0006895		559292	VPS21,VPS12,VPT12,YPT21,YPT51,YOR089C,YOR3154C	P
UniProtKB	P36017	VPS21	GO:0006895		559292	VPS21,VPS12,VPT12,YPT21,YPT51,YOR089C,YOR3154C	P
UniProtKB	P36017	VPS21	GO:0006895		559292	VPS21,VPS12,VPT12,YPT21,YPT51,YOR089C,YOR3154C	P
UniProtKB	P36017	VPS21	GO:0006895		559292	VPS21,VPS12,VPT12,YPT21,YPT51,YOR089C,YOR3154C	P
UniProtKB	P36018	YPT52	GO:0032511		559292	YPT52,YKR014C,YK112	P
UniProtKB	P36018	YPT52	GO:0006897		559292	YPT52,YKR014C,YK112	P
UniProtKB	P36018	YPT52	GO:0006895		559292	YPT52,YKR014C,YK112	P
UniProtKB	P36018	YPT52	GO:0006895		559292	YPT52,YKR014C,YK112	P
UniProtKB	P36018	YPT52	GO:0006895		559292	YPT52,YKR014C,YK112	P
UniProtKB	P36019	YPT53	GO:0006897		559292	YPT53,YNL093W,N2223	P
UniProtKB	P36019	YPT53	GO:0006895		559292	YPT53,YNL093W,N2223	P
UniProtKB	P36034	COS9	GO:0043328		559292	COS9,YKL219W	P
UniProtKB	P36095	VPS24	GO:0032509		559292	VPS24,DID3,YKL041W,YKL254	P
UniProtKB	P36095	VPS24	GO:0045324		559292	VPS24,DID3,YKL041W,YKL254	P
UniProtKB	P36095	VPS24	GO:0045324		559292	VPS24,DID3,YKL041W,YKL254	P
UniProtKB	P36095	VPS24	GO:0070676		559292	VPS24,DID3,YKL041W,YKL254	P
UniProtKB	P36108	DID4	GO:0045324		559292	DID4,CHM2,GRD7,REN1,VPL2,VPS2,VPT14,YKL002W	P
UniProtKB	P36108	DID4	GO:0032509		559292	DID4,CHM2,GRD7,REN1,VPL2,VPS2,VPT14,YKL002W	P
UniProtKB	P36108	DID4	GO:0045324		559292	DID4,CHM2,GRD7,REN1,VPL2,VPS2,VPT14,YKL002W	P
UniProtKB	P36108	DID4	GO:0070676		559292	DID4,CHM2,GRD7,REN1,VPL2,VPS2,VPT14,YKL002W	P
